timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
273390728,-1.3307607,-1.3436472,18.855,1.0
273402136,-1.331272,-1.344175,18.859999,1.0
273414292,-1.3317814,-1.344702,18.88,1.0
273427015,-1.3322173,-1.3450967,18.84,1.0
273438149,-1.3327744,-1.3457677,18.89,1.0
273449700,-1.3328812,-1.345795,18.855,1.0
273460832,-1.3326492,-1.345583,18.885,1.0
273473796,-1.332288,-1.3452086,18.875,1.0
273486045,-1.3320496,-1.3449153,18.855,1.0
273497611,-1.3319952,-1.3448604,18.855,1.0
273508846,-1.332032,-1.3448846,18.835,1.0
273521616,-1.3322014,-1.3450999,18.859999,1.0
273532812,-1.3323889,-1.3452948,18.845,1.0
273545798,-1.3326747,-1.3456526,18.875,1.0
273557932,-1.3329395,-1.345946,18.895,1.0
273571257,-1.3331496,-1.3461187,18.875,1.0
273582029,-1.333363,-1.3462996,18.859999,1.0
273593895,-1.3336357,-1.3466096,18.875,1.0
273605128,-1.3339232,-1.3469641,18.9,1.0
273616717,-1.3339125,-1.3467305,18.814999,1.0
273628038,-1.3339851,-1.3469222,18.875,1.0
273640796,-1.3334445,-1.3462955,18.84,1.0
273652029,-1.3327477,-1.345666,18.875,1.0
273664757,-1.3317635,-1.3446681,18.85,1.0
273675998,-1.3305708,-1.3433827,18.835,1.0
273688737,-1.3294705,-1.3423524,18.869999,1.0
273700045,-1.3285081,-1.3413813,18.85,1.0
273712802,-1.3279691,-1.3408352,18.855,1.0
273723369,-1.3277868,-1.3406626,18.859999,1.0
273733920,-1.3278515,-1.3407166,18.855,1.0
273746026,-1.3281859,-1.3411098,18.885,1.0
273757486,-1.3286037,-1.3415219,18.875,1.0
273768572,-1.3290806,-1.3419528,18.85,1.0
273780017,-1.3297458,-1.3427048,18.885,1.0
273792570,-1.330236,-1.3430743,18.845,1.0
273803301,-1.3307136,-1.3434168,18.789999,1.0
273814043,-1.33163,-1.3446678,18.92,1.0
273826150,-1.3320025,-1.3448483,18.835,1.0
273837534,-1.3325474,-1.3454227,18.859999,1.0
