timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
273391738,273391065,0.28051558,-0.6828674,0.13861786,0.0,1.0,0.0,0.0,0.0
273395636,273395072,0.27968317,-0.6827694,0.13872042,0.0,1.0,0.0,0.0,0.0
273399623,273399083,0.27933946,-0.6832429,0.13879251,0.0,1.0,0.0,0.0,0.0
273403795,273403074,0.2811363,-0.6831879,0.13869838,0.0,1.0,0.0,0.0,0.0
273407572,273407104,0.28180405,-0.6826086,0.13878518,0.0,1.0,0.0,0.0,0.0
273411612,273411091,0.28118685,-0.68349934,0.13862948,0.0,1.0,0.0,0.0,0.0
273415891,273415071,0.28067052,-0.6837305,0.13831052,0.0,1.0,0.0,0.0,0.0
273419597,273419065,0.28000915,-0.6833378,0.13863884,0.0,1.0,0.0,0.0,0.0
273423571,273423069,0.28065363,-0.68455964,0.13877583,0.0,1.0,0.0,0.0,0.0
273427812,273427077,0.2816794,-0.68344295,0.13876286,0.0,1.0,0.0,0.0,0.0
273431569,273431076,0.28275344,-0.6842739,0.13852042,0.0,1.0,0.0,0.0,0.0
273435618,273435064,0.28046,-0.6836032,0.13830316,0.0,1.0,0.0,0.0,0.0
273439756,273439064,0.27993256,-0.68368995,0.13846983,0.0,1.0,0.0,0.0,0.0
273443657,273443093,0.2789439,-0.6831792,0.13840683,0.0,1.0,0.0,0.0,0.0
273447644,273447107,0.2814231,-0.684022,0.13852566,0.0,1.0,0.0,0.0,0.0
273451648,273451065,0.2820148,-0.68326837,0.13835737,0.0,1.0,0.0,0.0,0.0
273455652,273455066,0.28215572,-0.68377656,0.1382904,0.0,1.0,0.0,0.0,0.0
273459625,273459065,0.2813295,-0.68310744,0.13836329,0.0,1.0,0.0,0.0,0.0
273463934,273463097,0.28077242,-0.6827541,0.1383285,0.0,1.0,0.0,0.0,0.0
273467622,273467107,0.2812626,-0.68414384,0.13818686,0.0,1.0,0.0,0.0,0.0
273471594,273471069,0.2828011,-0.6836435,0.13824643,0.0,1.0,0.0,0.0,0.0
273475764,273475064,0.28396577,-0.683894,0.13799387,0.0,1.0,0.0,0.0,0.0
273479751,273479066,0.2819171,-0.68345827,0.13783379,0.0,1.0,0.0,0.0,0.0
273483622,273483092,0.28094932,-0.6840662,0.13774467,0.0,1.0,0.0,0.0,0.0
273487838,273487111,0.2800508,-0.68329036,0.13796292,0.0,1.0,0.0,0.0,0.0
273491573,273491065,0.28151554,-0.68424433,0.13799414,0.0,1.0,0.0,0.0,0.0
273495762,273495136,0.28217265,-0.6830376,0.13797142,0.0,1.0,0.0,0.0,0.0
273499787,273499064,0.28320822,-0.6835372,0.13770027,0.0,1.0,0.0,0.0,0.0
273503752,273503093,0.28122327,-0.6827734,0.13758634,0.0,1.0,0.0,0.0,0.0
273507563,273507079,0.2799993,-0.6829544,0.13790077,0.0,1.0,0.0,0.0,0.0
273511744,273511064,0.27960145,-0.68369776,0.13805212,0.0,1.0,0.0,0.0,0.0
273515575,273515115,0.28146023,-0.68348145,0.13800591,0.0,1.0,0.0,0.0,0.0
273519747,273519083,0.28257766,-0.6837447,0.13805027,0.0,1.0,0.0,0.0,0.0
273523806,273523091,0.28101403,-0.6830226,0.13785067,0.0,1.0,0.0,0.0,0.0
273527795,273527066,0.28002408,-0.6832267,0.13811755,0.0,1.0,0.0,0.0,0.0
273531569,273531064,0.27916306,-0.6827248,0.1381167,0.0,1.0,0.0,0.0,0.0
273535799,273535089,0.28067377,-0.6841055,0.13814303,0.0,1.0,0.0,0.0,0.0
273539628,273539071,0.28168884,-0.6825405,0.13844107,0.0,1.0,0.0,0.0,0.0
273543653,273543096,0.2834425,-0.6839069,0.13837445,0.0,1.0,0.0,0.0,0.0
