timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
273395072,32767,32767,32767,32767,-69,32767,32767
273399083,32767,32767,32767,32767,32767,32767,32767
273403074,-9,32767,32767,32767,32767,32767,32767
273407104,32767,32767,32767,32767,32767,-59,32767
273411091,32767,32767,32767,32767,32767,32767,32767
273415071,-8,32767,32767,32767,32767,32767,32767
273419065,32767,32767,32767,32767,-55,-55,32767
273423069,32767,32767,32767,32767,32767,32767,32767
273427077,0,32767,32767,32767,32767,32767,32767
273431076,32767,32767,32767,32767,-49,-50,32767
273435064,32767,32767,32767,32767,32767,32767,32767
273439064,-9,32767,32767,32767,32767,32767,32767
273443093,32767,32767,32767,32767,-58,32767,32767
273447107,32767,32767,32767,32767,32767,32767,32767
273451065,-13,32767,32767,32767,32767,32767,32767
273455066,32767,32767,32767,32767,32767,-61,32767
273459065,32767,32767,32767,32767,32767,32767,32767
273463097,-22,32767,32767,32767,32767,32767,32767
273467107,32767,32767,32767,32767,-70,-71,32767
273471069,32767,32767,32767,32767,32767,32767,32767
273475064,-13,32767,-60,32767,32767,32767,32767
273479066,32767,32767,32767,32767,-60,-60,32767
273483092,32767,32767,32767,32767,32767,32767,32767
273487111,-11,32767,32767,32767,32767,32767,32767
273491065,32767,32767,32767,32767,-58,32767,32767
273495136,32767,32767,32767,32767,32767,32767,32767
273499064,-14,32767,32767,32767,32767,32767,32767
273503093,32767,32767,32767,32767,32767,-62,32767
273507079,32767,32767,32767,32767,32767,32767,32767
273511064,-22,32767,32767,32767,32767,32767,32767
273515115,32767,32767,32767,32767,-71,-71,32767
273519083,32767,32767,32767,32767,32767,32767,32767
273523091,-14,32767,32767,32767,32767,32767,32767
273527066,32767,32767,32767,32767,-62,-62,32767
273531064,32767,32767,32767,32767,32767,32767,32767
273535089,-22,32767,32767,32767,32767,32767,32767
273539071,32767,32767,32767,32767,-70,-70,32767
273543096,32767,32767,32767,32767,32767,32767,32767
273547065,-13,32767,32767,32767,32767,32767,32767
273551066,32767,32767,32767,32767,32767,-60,32767
273554315,32767,32767,32767,32767,32767,32767,32767
273558331,-4,32767,32767,32767,32767,32767,32767
273562302,32767,32767,32767,32767,-52,-52,32767
273566265,32767,32767,32767,32767,32767,32767,32767
273570265,32767,32767,32767,32767,32767,32767,32767
273574283,-30,32767,32767,32767,-48,-48,32767
273578296,32767,32767,32767,32767,32767,32767,32767
273582300,-3,32767,32767,32767,32767,32767,32767
273586266,32767,32767,32767,32767,-50,-51,32767
