timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
273391065,0.0018334651,-0.0014480565,-0.0023986795,3976,0,1.2000998,0.41879612,-9.518464,3976
273395072,0.008264233,-0.0018454489,-0.0032020996,4007,0,1.113961,0.44301715,-10.008203,4007
273399083,0.010206636,0.000795997,-0.0037248863,4011,0,0.8960365,0.26931792,-9.502034,4011
273403074,-0.0056681326,0.00051854935,-0.002902681,3991,0,1.1462122,0.28044474,-9.832887,3991
273407104,-0.011077805,-0.0025117064,-0.0037297686,4030,0,1.0384619,0.23493266,-9.3281555,4030
273411091,-0.0055117477,0.002368941,-0.0023658534,3987,0,1.2240993,0.5802921,-9.748446,3987
273415071,-0.0011982981,0.0035194529,0.00048268447,3980,0,1.244751,0.47776866,-9.695131,3980
273419065,0.0040240665,0.0013230294,-0.0023718516,3994,0,1.008271,0.513199,-9.873452,3994
273423069,-0.0018888804,0.007765529,-0.0035932572,4004,0,1.0332129,0.17530377,-9.580182,4004
273427077,-0.010530426,0.0015393014,-0.0035391215,4008,0,1.1068085,0.2541449,-9.533901,4008
273431076,-0.0189734,0.0059067355,-0.0015279485,3999,0,1.1026448,0.40270212,-9.552656,3999
273435064,0.00096861593,0.0021189523,0.00043955652,3988,0,1.2227963,0.49004018,-9.682316,3988
273439064,0.004922368,0.0025199535,-0.000973196,4000,0,1.1764346,0.5718081,-9.988225,4000
273443093,0.0123819625,-0.0002567477,-0.0002725009,4029,0,0.96129954,0.37571108,-9.586232,4029
273447107,-0.009294907,0.0042587365,-0.0013860548,4014,0,1.1770366,0.2941245,-9.76021,4014
273451065,-0.01387091,0.00011730625,2.6493246e-05,3958,0,1.1045426,0.2523392,-9.295043,3958
273455066,-0.0143927485,0.0028448345,0.0005251792,4001,0,1.2854,0.5579809,-9.704327,4001
273459065,-0.0068837395,-0.0007829958,-0.00014469257,3999,0,1.2865604,0.567729,-9.630094,3999
273463097,-0.0021389995,-0.0025637688,0.0001866217,4032,0,1.0722522,0.5352883,-9.987841,4032
273467107,-0.0063869944,0.0049488475,0.0014114418,4010,0,1.023846,0.1784877,-9.559629,4010
273471069,-0.018995836,0.0021125688,0.00075002364,3962,0,1.1501005,0.22321685,-9.577225,3962
273475064,-0.027627593,0.0033801938,0.0027847814,3995,0,1.1058512,0.26585624,-9.350997,3995
273479066,-0.00912596,0.0009526836,0.0041618953,4002,0,1.2498038,0.43828318,-9.6624,4002
273483092,-0.0008730832,0.0041538137,0.004970655,4026,0,1.2082881,0.48984125,-9.921971,4026
273487111,0.0062324367,-0.000108721906,0.003119019,4019,0,0.97216475,0.34499267,-9.775986,4019
273491065,-0.0066766194,0.004981854,0.0028068211,3954,0,1.1291695,0.18050402,-9.811365,3954
273495136,-0.011983887,-0.0015919864,0.0029438443,4071,0,1.0724231,0.15825453,-9.376406,4071
273499064,-0.020095196,0.0011678971,0.0052171526,3928,0,1.2174437,0.48407972,-9.640673,3928
273503093,-0.0026771028,-0.0028876278,0.0062501207,4029,0,1.2568499,0.5168876,-9.629249,4029
273507079,0.0072417874,-0.0017518478,0.0035566287,3986,0,1.0941609,0.5308307,-10.11321,3986
273511064,0.00964715,0.002302577,0.0023217453,3985,0,0.9881987,0.26544535,-9.631606,3985
273515115,-0.0067517706,0.0010904222,0.0027083098,4051,0,1.1522222,0.3214418,-9.75888,4051
273519083,-0.015871748,0.0024755297,0.0022077055,3968,0,1.0633124,0.37372005,-9.3545885,3968
273523091,-0.0022164055,-0.0014195816,0.0040020277,4008,0,1.260313,0.61999667,-9.711539,4008
273527066,0.0057533327,-0.00022889879,0.0017142525,3975,0,1.2425978,0.66191953,-9.837435,3975
273531064,0.0121190855,-0.002823822,0.0018659293,3998,0,0.99399966,0.58453774,-9.841187,3998
273535089,-0.0015516364,0.004655922,0.001637903,4025,0,1.1175531,0.344368,-9.828042,4025
273539071,-0.010140294,-0.0037860838,-0.0010554969,3982,0,1.0827092,0.29280964,-9.491906,3982
273543096,-0.02420284,0.003675798,-0.00064914976,4025,0,1.1676188,0.58169156,-9.601873,4025
273547065,-0.008582526,0.00026344782,-0.0004047364,3969,0,1.2385345,0.64063627,-9.591889,3969
273551066,0.0029546742,-0.0005206603,0.00030435168,4001,0,1.1414738,0.60056555,-10.039744,4001
273554315,0.008357909,0.0024199989,-0.0019854065,3249,0,0.9594257,0.39597324,-9.6193695,3249
273558331,-0.011306528,0.0063120145,-0.0032449393,4016,0,1.1561654,0.27084696,-9.8748045,4016
273562302,-0.015341401,-0.0016282889,-0.003720832,3971,0,1.0572671,0.18291265,-9.375348,3971
273566265,-0.015600674,0.003664136,-0.0028185223,3963,0,1.2297401,0.5093957,-9.65901,3963
273570265,-0.00029513193,-9.872531e-05,-0.0014870876,4000,0,1.2527771,0.5730074,-9.576356,4000
273574283,0.00927878,-0.0007188167,-0.0048053283,4018,0,1.055161,0.51953125,-9.966608,4018
273578296,0.0069806,0.004622943,-0.0054358467,4013,0,0.9965332,0.15685724,-9.595577,4013
273582300,-0.010502089,0.00054497266,-0.006931883,4004,0,1.131545,0.20856912,-9.677977,4004
273586266,-0.021396909,0.00065959455,-0.0035432242,3966,0,1.0657289,0.313669,-9.426901,3966
273590271,-0.009566725,-0.00035346055,-0.0038252522,4005,0,1.2414538,0.5241056,-9.69423,4005
273594265,0.0038176647,-0.002076859,-0.0023536973,3994,0,1.2067887,0.5472814,-9.795663,3994
273598296,0.011706772,-0.002419156,-0.0038058008,4031,0,0.98237884,0.39327568,-9.686878,4031
273602266,-0.0035504836,0.005456815,-0.005862589,3970,0,1.1409209,0.19268307,-9.676749,3970
273606265,-0.011059579,-0.0011004176,-0.0052305767,3999,0,1.0871711,0.17626005,-9.349127,3999
273610272,-0.016804388,0.005026668,-0.005388327,4007,0,1.196373,0.48915723,-9.5275955,4007
273614264,-0.005143017,0.00066131196,-0.0029892612,3992,0,1.2546148,0.60085,-9.517353,3992
273618306,0.0029791493,0.0038661628,-0.0033668182,4042,0,1.1039495,0.5662432,-9.893858,4042
273622302,0.0033345406,0.0045289,-0.0040407013,3996,0,0.99036986,0.28078094,-9.532222,3996
273626264,-0.01579131,0.0005406134,-0.0022360773,3962,0,1.1398193,0.25632313,-9.685172,3962
273630271,-0.024834687,0.0025102957,-0.0012908834,4007,0,1.0164423,0.26491755,-9.352279,4007
273634265,-0.01577668,0.0005981372,-0.001626688,3994,0,1.2299913,0.4753697,-9.7039995,3994
273638296,-0.003069908,0.001766592,0.0002397897,4031,0,1.1993561,0.5213806,-9.763461,4031
273642305,0.0069496725,-0.00024297473,-0.0019817138,4009,0,0.9928682,0.47544456,-9.846263,4009
273646291,-0.003223601,0.006895501,-0.002226483,3986,0,1.0928172,0.14425234,-9.697462,3986
273650264,-0.011829148,0.00022441185,-0.0010094681,3973,0,1.1107051,0.15120591,-9.54541,3973
273654265,-0.021311298,0.0058211843,0.0015225428,4001,0,1.1469781,0.42901537,-9.587716,4001
273658306,-0.010637066,0.0018032552,0.0031632604,4041,0,1.2180573,0.553974,-9.741289,4041
273662286,0.0006161295,0.003056347,0.0025364226,3980,0,1.1122742,0.5631689,-10.052385,3980
273666273,0.00574264,0.0058392487,0.0029596111,3987,0,0.9690421,0.32724103,-9.686802,3987
273670280,-0.0108710425,0.0045506516,0.0018622617,4007,0,1.1436602,0.25108162,-9.818346,4007
273674265,-0.023151787,-0.0010736224,0.001958663,3985,0,1.0596416,0.22496586,-9.444734,3985
273678296,-0.016947841,-0.0020349263,0.003805543,4031,0,1.2366341,0.47250605,-9.744327,4031
273682320,-0.0046132533,0.00027887008,0.004138928,4024,0,1.2222326,0.57205915,-9.768349,4024
273686273,0.0073424894,-0.0026532244,0.0018685188,3953,0,1.0602938,0.5676055,-9.959075,3953
273690265,0.0043152254,0.0009188339,0.0012604602,3992,0,1.0980289,0.24411438,-9.703582,3992
273694265,-0.008723478,-0.0018365362,0.0009950016,4000,0,1.1211687,0.18770455,-9.525133,4000
273698296,-0.021880502,0.002656844,0.0023924222,4031,0,1.1376545,0.43859434,-9.38279,4031
273702283,-0.013330052,-0.00076215604,0.003873144,3987,0,1.2842377,0.63182694,-9.636942,3987
273706264,-0.0005735685,0.00060636,0.0026444905,3981,0,1.1599818,0.6120892,-9.882323,3981
273710265,0.010424832,0.00060668297,0.0016014801,4001,0,1.0210941,0.4303872,-9.772396,4001
273714264,-0.007373775,0.0041345158,0.0031061536,3999,0,1.1598988,0.28151143,-9.825155,3999
273718296,-0.017621504,-0.0018213264,0.004852975,4032,0,1.0755113,0.21762425,-9.390964,4032
273722306,-0.01585621,0.00026274778,0.0017840309,4010,0,1.2605965,0.49547386,-9.595916,4010
273726279,0.00080116483,-0.00265108,0.0026838214,3973,0,1.21832,0.64546365,-9.558401,3973
273730327,0.012519495,-0.0023135731,0.0009211893,4048,0,1.0341654,0.627109,-9.842683,4048
273734267,0.01057617,0.004260151,-0.0013178446,3940,0,1.0286552,0.28535804,-9.59849,3940
273738296,-0.003554484,0.0010043657,-0.0019998525,4029,0,1.0964698,0.21956016,-9.586001,4029
273742265,-0.019939449,0.004468719,-0.0023789662,3969,0,1.0700672,0.4016879,-9.372094,3969
273746265,-0.013368534,7.1343755e-05,-0.00092513167,4000,0,1.245895,0.6232273,-9.654026,4000
273750310,0.0014075373,0.00046047158,-0.0028464878,4045,0,1.1304611,0.5861712,-9.756322,4045
273754271,0.009235406,0.0007096168,-0.0032247568,3961,0,0.9869435,0.48288262,-9.746848,3961
273758307,-0.008904775,0.005156258,-0.0041580577,4036,0,1.1117091,0.23877561,-9.768766,4036
273762265,-0.019019488,0.0014137203,-0.0032894458,3958,0,1.0453126,0.16264047,-9.48116,3958
273766265,-0.020019941,0.004423028,-0.0023865048,4000,0,1.1652812,0.3974247,-9.574073,4000
273770314,-0.0046998556,-5.8015125e-05,-0.002442921,4049,0,1.2020769,0.60313094,-9.646295,4049
273774271,0.00651773,0.001942429,-0.0045716185,3957,0,1.0449779,0.5323563,-9.877,3957
273778301,0.009049057,0.0044835163,-0.007828298,4030,0,1.0014334,0.22679618,-9.664881,4030
273782265,-0.004956318,0.00023561977,-0.005638605,3964,0,1.1211311,0.1583064,-9.766139,3964
273786265,-0.017896313,0.00018240113,-0.0045495033,4000,0,1.0557551,0.28680634,-9.474952,4000
273790286,-0.012473584,0.0013297597,-0.0027247204,4021,0,1.2474722,0.5181552,-9.718125,4021
273794271,0.0026594885,-0.0020610874,-0.0015262739,3985,0,1.1868838,0.56786054,-9.718479,3985
273798319,0.010826801,0.0006105107,-0.0030811813,4048,0,1.0592084,0.48880735,-9.743754,4048
273802267,-0.00208551,0.003945736,-0.0025114396,3948,0,1.1451474,0.21789727,-9.673837,3948
273806265,-0.013954199,-0.00059483515,-0.0013644072,3998,0,1.1173159,0.1520759,-9.4960985,3998
273810277,-0.01720223,0.004104405,-0.00029448845,4012,0,1.1723768,0.38130715,-9.478241,4012
273814293,-0.008756444,0.00036168075,-0.002000689,4016,0,1.272661,0.6319879,-9.706524,4016
273818337,0.00635206,-8.726328e-05,-0.002525894,4044,0,1.1133362,0.6165939,-9.901007,4044
273822265,0.010335321,0.005782076,-0.000639927,3928,0,1.0603592,0.31871158,-9.7054825,3928
273826265,-0.0053721773,0.0041115126,-0.0011040377,4000,0,1.1755812,0.19395685,-9.732121,4000
273830273,-0.019943979,0.0004886691,-0.0014965141,4008,0,1.0840662,0.2843594,-9.467369,4008
273834265,-0.015894735,0.0019897213,0.000598544,3992,0,1.2788113,0.514791,-9.683155,3992
