timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
273392828,0.26264074,0.027139934,0.15375485
273595256,0.2541547,0.025918644,0.15456745
273800106,0.26125675,0.025394047,0.15298524
274002474,0.25717723,0.025231713,0.14636104
274206749,0.2656296,0.026436316,0.14907615
274409690,0.26363984,0.028184496,0.14910462
274609765,0.25697544,0.026449835,0.1515281
274812067,0.26799345,0.026970662,0.14642559
275012041,0.26983708,0.027256297,0.15244892
275215221,0.27166137,0.028895944,0.15284902
275419329,0.2646624,0.027498972,0.15661412
275622527,0.25696874,0.028337166,0.14900945
275826640,0.26028576,0.02754886,0.1541106
276028885,0.25759685,0.026622495,0.15201253
276233576,0.25570318,0.030278055,0.15582131
276436200,0.27145424,0.030641463,0.14901382
276640229,0.26595125,0.028508121,0.14798172
276840094,0.26375216,0.028879886,0.15345185
277043535,0.267458,0.028692493,0.1505177
277245591,0.26621422,0.02835062,0.15916348
277450342,0.2626699,0.028100632,0.14776789
277653641,0.26440945,0.02794432,0.14989673
277855992,0.26018134,0.026445242,0.14902195
278060790,0.26267076,0.027232282,0.15150006
279276749,0.26337135,0.02849439,0.15037875
279480214,0.25341687,0.029151537,0.14813168
279684181,0.26283777,0.027629282,0.15234509
279886432,0.2659713,0.02976503,0.1448204
280086387,0.25763178,0.026556885,0.1498419
280290710,0.26565683,0.02820738,0.15369284
280490864,0.26169708,0.02819119,0.15432353
280692904,0.26224452,0.02934679,0.15344556
280891997,0.26609835,0.02822546,0.15374686
281095261,0.26861647,0.028243562,0.14615537
281295242,0.2559989,0.027943987,0.1574537
281499121,0.26219177,0.026658963,0.16922016
281701598,0.23255211,0.023775704,0.17356604
281906340,0.26396772,0.026106494,0.17791454
282108805,0.2571339,0.027007716,0.17831331
282312582,0.258745,0.024876172,0.18150775
282513197,0.25589243,0.026948508,0.1767868
282715287,0.24305558,0.025665145,0.17915294
282919465,0.26107225,0.028458834,0.17714733
283119344,0.2707839,0.027867185,0.18169805
283322663,0.27171144,0.02748351,0.17840739
283524912,0.2574797,0.02632828,0.18433875
283730488,0.2519338,0.024185808,0.17762625
283933794,0.27066424,0.026043894,0.1771938
284135173,0.26796976,0.027866656,0.17899857
284339800,0.26683447,0.0247426,0.17677033
284542481,0.27811986,0.0279649,0.17932592
284746177,0.25174984,0.026553078,0.18177693
284947981,0.26946443,0.0258585,0.1802488
285148922,0.26704496,0.025537396,0.17949124
285352910,0.2703278,0.028393172,0.17935969
285554391,0.26075777,0.026975697,0.18839133
285759889,0.2527444,0.026249763,0.18031058
285962461,0.25654152,0.025073608,0.17090307
286166638,0.28672186,0.025113616,0.1800493
286369596,0.27011636,0.028892988,0.17665537
286569537,0.2606262,0.023982279,0.17542094
286772010,0.25998896,0.026473192,0.1803077
286972104,0.25945503,0.025180278,0.18001826
287175974,0.27200451,0.027587894,0.18209322
287378493,0.26229277,0.026955603,0.17941637
287583146,0.26728138,0.024853533,0.17600611
287785723,0.2863224,0.026516201,0.17180683
287988857,0.25245222,0.026701981,0.18210368
288193753,0.25906706,0.027385514,0.18495323
288396957,0.27871236,0.026643123,0.17806177
288599287,0.2602527,0.025390413,0.17615946
288799244,0.27939513,0.025690224,0.17843887
289002803,0.25869015,0.024916654,0.18337081
289205645,0.2439576,0.027218712,0.16361961
289410150,0.29118818,0.027562331,0.16661683
289610540,0.26670432,0.025967196,0.16545314
289812096,0.25765,0.023190714,0.1729102
290016125,0.27434975,0.027408622,0.20348871
290219204,0.24721965,0.028005771,0.21462569
290423444,0.26462638,0.025922243,0.21563023
290622054,0.23673713,0.027526135,0.20845316
291232767,0.2750403,0.027396582,0.21530779
291436120,0.25888968,0.027735334,0.21431701
291639616,0.31053168,0.028105358,0.21609233
291839956,0.27854937,0.027350675,0.21390322
292042444,0.24381997,0.025171615,0.21453623
292245583,0.29176027,0.02468,0.21707945
292446258,0.35187426,0.02721815,0.23977168
292647959,0.22634439,0.026440332,0.28351048
292848064,0.24500771,0.025227662,0.278684
293052458,0.2403576,0.026861608,0.3294066
293251654,0.2593994,0.026177185,0.33022222
293454391,0.23699139,0.027170695,0.3304812
293658168,0.2924853,0.026849993,0.33415213
293860756,0.27958235,0.025348047,0.4061352
294065516,0.24635904,0.02414494,0.49578777
294267987,0.2636424,0.021726154,0.4889359
294471317,0.23254177,0.022921473,0.488026
294671771,0.27896518,0.025626905,0.49235004
294874729,0.29818842,0.027814649,0.5463163
295079752,0.2869249,0.01941638,0.5586888
295281415,0.31522328,0.0227936,0.5869283
295484869,0.35053635,0.032419775,0.6640945
295688732,0.31189224,0.039814956,0.8268263
295889077,0.2937746,0.03595289,0.9627994
296091230,0.2796932,0.032544296,1.0369211
296291299,0.34951416,0.0434485,1.117321
296493672,0.4340929,0.030617308,1.1768152
296697875,0.5965726,0.029694676,1.171885
296900784,0.6947229,0.025996214,1.1707014
297100856,0.68918014,0.031026984,1.5624481
297304762,0.3820014,0.032906853,1.6950431
297507776,0.69787896,0.039079044,1.7070636
297711253,0.5146303,0.027065493,1.6957132
297915153,0.55242383,0.033653375,1.658311
298117678,0.29067966,0.040712915,1.62178
298321189,0.56906205,0.0623435,1.6162447
298524843,0.45259106,0.05952201,1.6148313
298729878,0.44540545,0.052063417,1.6164252
298931212,0.37795064,0.039079893,1.6131788
299131264,0.5138029,0.041122556,1.5985426
299945398,0.24814078,0.048747238,1.447609
