timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
273264899,1606917490600480,490896778,21104098,85773,131799,0.23600002,0.7433807,0.708,1.018,1.1,1.42,101,61,0.056,0.031000001,-0.046000004,0.035,2.8922417,0,nan,0.0,4,1,12
273469046,1606917490800480,490896779,21104097,85769,131795,0.25300002,0.74339014,0.70900005,1.0200001,1.1,1.4499999,101,61,0.081,0.078,-0.022000002,0.015000001,2.8922417,0,nan,0.0,4,1,11
273672119,1606917491000480,490896780,21104096,85764,131790,0.28,0.74340045,0.71000004,1.0220001,1.1,1.42,101,61,0.054,0.048,0.024,-0.014,2.8922417,0,nan,0.0,4,1,12
273861097,1606917491200480,490896779,21104096,85759,131785,0.25500003,0.7434099,0.711,1.024,1.1,1.4499999,101,61,0.048,-0.037,-0.031000001,-0.002,2.8922417,0,nan,0.0,4,1,11
274068106,1606917491400480,490896779,21104096,85764,131789,0.28,0.7434202,0.712,1.026,1.1,1.42,101,61,0.058000002,0.038000003,0.044000003,-0.028,2.8922417,0,nan,0.0,4,1,12
274272209,1606917491600480,490896780,21104096,85783,131809,0.27800003,0.74343044,0.71300006,1.028,1.1,1.42,101,64,0.080000006,0.07700001,0.023000002,-0.014,2.8922417,0,nan,0.0,4,1,12
274470314,1606917491800480,490896781,21104095,85784,131810,0.238,0.7434392,0.71400005,1.0300001,1.1,1.4499999,101,64,0.052,-0.036000002,-0.038000003,-0.013,2.8922417,0,nan,0.0,4,1,11
274670321,1606917492000479,490896780,21104094,85780,131806,0.303,0.74345034,0.71400005,1.031,1.1,1.4499999,101,64,0.022000002,0.018000001,0.012,-0.029000001,2.8922417,0,nan,0.0,4,1,11
274870309,1606917492200479,490896781,21104093,85793,131819,0.26500002,0.7434601,0.71500003,1.0320001,1.1,1.4499999,101,64,0.083000004,0.078,-0.029000001,-0.033,2.8922417,0,nan,0.0,4,1,11
275070170,1606917492400479,490896780,21104092,85774,131800,0.25,0.74346936,0.716,1.0320001,1.1,1.4499999,101,64,0.055000003,-0.054,0.010000001,-0.010000001,2.8922417,0,nan,0.0,4,1,11
275268807,1606917492600479,490896779,21104092,85752,131778,0.296,0.7434802,0.717,1.0350001,1.1,1.4499999,101,64,0.017,-0.011000001,-0.013,0.013,2.8922417,0,nan,0.0,4,1,11
275467717,1606917492800479,490896780,21104091,85755,131780,0.25800002,0.7434898,0.717,1.036,1.1,1.4499999,101,64,0.045,0.035,-0.028,-0.027,2.8922417,0,nan,0.0,4,1,11
275671256,1606917493000479,490896780,21104091,85744,131769,0.275,0.74349993,0.71800005,1.0370001,1.1,1.4499999,101,64,0.061000004,0.026,0.055000003,-0.041,2.8922417,0,nan,0.0,4,1,11
275872048,1606917493200479,490896779,21104091,85762,131788,0.279,0.7435102,0.71900004,1.0380001,1.1,1.4499999,101,64,0.053000003,-0.051000003,-0.017,0.011000001,2.8922417,0,nan,0.0,4,1,11
276071120,1606917493400479,490896779,21104090,85776,131801,0.266,0.74351996,0.71900004,1.039,1.1,1.4499999,101,64,0.020000001,-0.018000001,0.008,-0.031000001,2.8922417,0,nan,0.0,4,1,11
276277132,1606917493600479,490896779,21104090,85781,131807,0.30600002,0.74353135,0.72,1.041,1.1,1.4499999,101,64,0.063,0.062000003,0.011000001,-0.066,2.8922417,0,nan,0.0,4,1,11
276466051,1606917493800479,490896779,21104089,85775,131801,0.303,0.7435425,0.721,1.0430001,1.1,1.4499999,101,64,0.028,0.028,0.0,-0.057000004,2.8922417,0,nan,0.0,4,1,11
276673208,1606917494000479,490896778,21104089,85765,131791,0.246,0.74355155,0.72200006,1.044,1.1,1.4499999,101,64,0.043,-0.039,-0.018000001,-0.019000001,2.8922417,0,nan,0.0,4,1,11
276869100,1606917494200479,490896777,21104088,85756,131782,0.24200001,0.7435605,0.72300005,1.044,1.1,1.4499999,101,64,0.027,0.024,-0.012,0.003,2.8922417,0,nan,0.0,4,1,11
277072097,1606917494400479,490896777,21104087,85757,131782,0.30100003,0.74357146,0.72300005,1.0450001,1.1,1.4499999,101,64,0.022000002,0.014,0.017,-0.033,2.8922417,0,nan,0.0,4,1,11
277274402,1606917494600478,490896777,21104087,85746,131772,0.264,0.74358124,0.72400004,1.046,1.1,1.4499999,101,64,0.016,0.016,-0.002,0.038000003,2.8922417,0,nan,0.0,4,1,11
277470409,1606917494800478,490896776,21104087,85734,131759,0.27,0.7435912,0.725,1.046,1.1,1.4499999,101,64,0.019000001,-0.006,-0.019000001,-0.075,2.8922417,0,nan,0.0,4,1,11
277675229,1606917495000478,490896777,21104086,85754,131780,0.294,0.74360204,0.725,1.047,1.1,1.4499999,101,64,0.056,0.053000003,0.019000001,-0.026,2.8922417,0,nan,0.0,4,1,11
277873049,1606917495200478,490896776,21104085,85740,131765,0.291,0.7436128,0.726,1.0480001,1.1,1.4499999,101,64,0.021000002,-0.016,-0.014,0.012,2.8922417,0,nan,0.0,4,1,11
278073158,1606917495400478,490896776,21104085,85758,131783,0.29000002,0.7436235,0.726,1.0480001,1.1,1.4499999,101,64,0.017,0.015000001,0.009000001,-0.074,2.8922417,0,nan,0.0,4,1,11
279270278,1606917496600478,490896774,21104083,85749,131775,0.272,0.74368334,0.72800004,1.049,1.1,1.4499999,100,64,0.009000001,-0.008,-0.003,-0.052,2.8922417,0,nan,0.0,4,1,11
279469346,1606917496800478,490896774,21104082,85751,131777,0.27100003,0.7436933,0.72900003,1.0500001,1.1,1.4499999,100,64,0.059000004,0.058000002,-0.012,-0.017,2.8922417,0,nan,0.0,4,1,11
279669349,1606917497000478,490896774,21104081,85744,131770,0.26200002,0.74370307,0.72900003,1.051,1.1,1.4499999,100,64,0.007,0.0,0.007,-0.019000001,2.8922417,0,nan,0.0,4,1,11
279873221,1606917497200477,490896774,21104080,85753,131778,0.3,0.7437141,0.72900003,1.051,1.1,1.4499999,100,64,0.074,-0.067,-0.032,0.060000002,2.8922417,0,nan,0.0,4,1,11
280073056,1606917497400477,490896773,21104079,85744,131769,0.29000002,0.7437247,0.73,1.051,1.1,1.4499999,100,64,0.045,-0.044000003,0.0050000004,0.034,2.8922417,0,nan,0.0,4,1,11
280267542,1606917497600477,490896772,21104078,85746,131772,0.291,0.7437354,0.73,1.051,1.1,1.4499999,100,64,0.017,-0.017,-0.002,0.104,2.8922417,0,nan,0.0,4,1,11
280468123,1606917497800477,490896772,21104076,85744,131770,0.21100001,0.74374324,0.73,1.052,1.1,1.4499999,100,64,0.025,-0.006,-0.025,-0.006,2.8922417,0,nan,0.0,4,1,11
280670163,1606917498000477,490896773,21104076,85753,131779,0.27,0.74375314,0.731,1.052,1.1,1.4399999,100,64,0.033,-0.009000001,0.031000001,0.097,2.8922417,0,nan,0.0,4,1,11
280870049,1606917498200477,490896772,21104075,85737,131763,0.296,0.743764,0.731,1.0530001,1.1,1.4399999,100,64,0.027,-0.010000001,-0.025,0.091000006,2.8922417,0,nan,0.0,4,1,11
281069053,1606917498400477,490896773,21104074,85750,131775,0.294,0.74377483,0.731,1.0530001,1.1,1.4399999,100,64,0.014,0.012,0.007,-0.008,2.8922417,0,nan,0.0,4,1,11
281269483,1606917498600477,490896772,21104073,85756,131782,0.24100001,0.7437837,0.73200005,1.054,1.1,1.4399999,100,62,0.030000001,-0.025,0.016,-0.004,2.8922417,0,nan,0.0,4,1,11
281469133,1606917498800477,490896772,21104072,85775,131801,0.25300002,0.74379295,0.73200005,1.0550001,1.1,1.4399999,100,62,0.018000001,-0.016,0.007,0.001,2.8922417,0,nan,0.0,4,1,11
281664098,1606917499000477,490896772,21104072,85779,131804,0.25100002,0.7438022,0.73300004,1.057,1.1,1.4399999,100,62,0.039,0.039,0.003,0.026,2.8922417,0,nan,0.0,4,1,11
281867165,1606917499200477,490896772,21104071,85782,131808,0.25300002,0.7438116,0.73300004,1.0580001,1.1,1.4399999,100,62,0.080000006,-0.079,0.013,-0.030000001,2.8922417,0,nan,0.0,4,1,11
282069133,1606917499400477,490896771,21104070,85787,131812,0.254,0.7438209,0.73300004,1.059,1.1,1.4399999,100,62,0.053000003,0.05,-0.017,0.004,2.8922417,0,nan,0.0,4,1,11
282269100,1606917499600477,490896770,21104070,85774,131799,0.29700002,0.7438319,0.734,1.0600001,1.1,1.4399999,100,64,0.020000001,0.020000001,0.004,-0.082,2.8922417,0,nan,0.0,4,1,11
