timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
273395652,0,0,0,0,0
273595015,0,0,0,0,0
273798994,0,0,0,0,0
274002307,0,0,0,0,0
274205346,0,0,0,0,0
274409232,0,0,0,0,0
274608649,0,0,0,0,0
274811783,0,0,0,0,0
275011775,0,0,0,0,0
275214820,0,0,0,0,0
275414141,0,0,0,0,0
275618034,0,0,0,0,0
275821233,0,0,0,0,0
276024388,0,0,0,0,0
276228583,0,0,0,0,0
276431583,0,0,0,0,0
276634943,0,0,0,0,0
276838998,0,0,0,0,0
277042208,0,0,0,0,0
277241257,0,0,0,0,0
277445215,0,0,0,0,0
277648588,0,0,0,0,0
277851934,0,0,0,0,0
278051813,0,0,0,0,0
279264415,0,0,0,0,0
279467741,0,0,0,0,0
279670801,0,0,0,0,0
279874014,0,0,0,0,0
280078061,0,0,0,0,0
280281394,0,0,0,0,0
280484445,0,0,0,0,0
280688448,0,0,0,0,0
280891755,0,0,0,0,0
281095015,0,0,0,0,0
281294990,0,0,0,0,0
281498212,0,0,0,0,0
281701361,0,0,0,0,0
281905331,0,0,0,0,0
282108572,0,0,0,0,0
282311642,0,0,0,0,0
282511791,0,0,0,0,0
282715001,0,0,0,0,0
282918044,0,0,0,0,0
283118363,0,0,0,0,0
283321377,0,0,0,0,0
283524527,0,0,0,0,0
283728733,0,0,0,0,0
283931646,0,0,0,0,0
284134852,0,0,0,0,0
284338968,0,0,0,0,0
284541996,0,0,0,0,0
284745354,0,0,0,0,0
284947754,0,0,0,0,0
285148752,0,0,0,0,0
285351560,0,0,0,0,0
285554011,0,0,0,0,0
285754841,0,0,0,0,0
285957995,0,0,0,0,0
286161255,0,0,0,0,0
286365624,0,0,0,0,0
286568574,0,0,0,0,0
286771767,0,0,0,0,0
286971641,0,0,0,0,0
287174844,0,0,0,0,0
287377976,0,0,0,0,0
287582157,0,0,0,0,0
287785251,0,0,0,0,0
287988595,0,0,0,0,0
288192578,0,0,0,0,0
288395627,0,0,0,0,0
288598989,0,0,0,0,0
288798995,0,0,0,0,0
289002021,0,0,0,0,0
289205252,0,0,0,0,0
289409196,0,0,0,0,0
289608870,0,0,0,0,0
289811744,0,0,0,0,0
290014823,0,0,0,0,0
290218959,0,0,0,0,0
290422011,0,0,0,0,0
290621226,0,0,0,0,0
291231662,0,0,0,0,0
291435930,0,0,0,0,0
291638803,0,0,0,0,0
291838988,0,0,0,0,0
292042034,0,0,0,0,0
292245350,0,0,0,0,0
292446027,0,0,0,0,0
292647631,0,0,0,0,0
292847814,0,0,0,0,0
293051004,0,0,0,0,0
293250968,0,0,0,0,0
293454151,0,0,0,0,0
293657377,0,0,0,0,0
293860519,0,0,0,0,0
294064580,0,0,0,0,0
294267645,0,0,0,0,0
294470022,0,0,0,0,0
294670856,0,0,0,0,0
294874379,0,0,0,0,0
295077256,0,0,0,0,0
295281183,0,0,0,0,0
295484452,0,0,0,0,0
295687925,0,0,0,0,0
295887794,0,0,0,0,0
