timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
15953061,1607432851199894,490896807,21103735,83984,130010,0.43600002,0.75662255,1.5460001,2.2410002,0.76,0.96,96,18,0.023000002,-0.023000002,0.004,0.015000001,5.763302,0,nan,0.0,4,1,17
16152069,1607432851399894,490896806,21103735,83959,129985,0.41300002,0.7566375,1.544,2.24,0.76,0.96,96,18,0.034,-0.023000002,0.025,0.041,5.763302,0,nan,0.0,4,1,17
16353103,1607432851599894,490896807,21103737,83965,129990,0.462,0.75665426,1.5430001,2.2380002,0.76,0.96,96,18,0.056,0.049000002,0.029000001,0.026,5.763302,0,nan,0.0,4,1,17
16551199,1607432851799894,490896808,21103739,83963,129989,0.49400002,0.7566721,1.542,2.237,0.76,0.96,96,18,0.123,0.083000004,0.09,-0.030000001,5.763302,0,nan,0.0,4,1,17
16756054,1607432851999895,490896809,21103741,83940,129966,0.45900002,0.75668865,1.5410001,2.237,0.76,0.96,96,18,0.065000005,0.040000003,0.051000003,0.049000002,5.763302,0,nan,0.0,4,1,17
16955262,1607432852199894,490896809,21103741,83936,129962,0.50200003,0.756707,1.5410001,2.237,0.76,0.96,97,20,0.086,-0.067,-0.053000003,0.034,5.763302,0,nan,0.0,4,1,17
17157070,1607432852399894,490896809,21103741,83946,129972,0.48200002,0.7567245,1.5410001,2.237,0.76,0.96,97,20,0.020000001,-0.020000001,0.002,0.035,5.763302,0,nan,0.0,4,1,17
17354750,1607432852599894,490896809,21103741,83952,129977,0.48700002,0.75674206,1.5410001,2.237,0.76,0.96,97,20,0.025,0.025,0.0,-0.074,5.763302,0,nan,0.0,4,1,17
17558219,1607432852799894,490896809,21103741,83946,129972,0.46600002,0.756759,1.5400001,2.236,0.76,0.96,97,20,0.05,0.043,0.027,0.020000001,5.763302,0,nan,0.0,4,1,17
17756454,1607432852999895,490896810,21103742,83949,129975,0.45700002,0.7567756,1.539,2.2350001,0.76,0.96,97,20,0.031000001,-0.011000001,0.029000001,0.071,5.763302,0,nan,0.0,4,1,17
17952392,1607432853199894,490896808,21103743,83929,129955,0.39900002,0.7567901,1.5380001,2.2350001,0.76,0.96,97,20,0.042000003,-0.042000003,0.007,0.011000001,5.763302,0,nan,0.0,4,1,17
18156084,1607432853399894,490896809,21103744,83938,129964,0.47300002,0.7568072,1.5370001,2.2340002,0.76,0.96,97,20,0.040000003,0.040000003,0.008,-0.008,5.763302,0,nan,0.0,4,1,17
18360054,1607432853599894,490896810,21103746,83936,129962,0.51600003,0.75682586,1.5370001,2.233,0.76,0.96,97,20,0.072000004,0.055000003,0.046000004,-0.023000002,5.763302,0,nan,0.0,4,1,17
18556097,1607432853799893,490896811,21103748,83959,129985,0.51100004,0.7568445,1.5370001,2.233,0.76,0.96,97,20,0.10700001,0.082,0.069000006,-0.015000001,5.763302,0,nan,0.0,4,1,17
18759126,1607432853999894,490896812,21103750,83950,129976,0.462,0.7568611,1.5370001,2.232,0.76,0.96,97,20,0.072000004,0.055000003,0.046000004,0.059000004,5.763302,0,nan,0.0,4,1,17
18957078,1607432854199893,490896813,21103752,83977,130003,0.485,0.75687873,1.539,2.2340002,0.76,0.96,97,17,0.064,0.037,0.052,0.009000001,5.763302,0,nan,0.0,4,1,17
19153072,1607432854399893,490896814,21103753,83979,130004,0.377,0.7568923,1.5400001,2.236,0.76,0.96,97,17,0.041,0.040000003,-0.010000001,0.028,5.763302,0,nan,0.0,4,1,17
19357182,1607432854599893,490896814,21103753,83975,130001,0.508,0.7569107,1.5410001,2.2380002,0.76,0.96,97,17,0.032,0.018000001,0.026,-0.061000004,5.763302,0,nan,0.0,4,1,17
19557099,1607432854799893,490896813,21103754,83990,130015,0.51600003,0.7569295,1.5430001,2.239,0.76,0.96,97,17,0.060000002,-0.046000004,-0.037,0.014,5.763302,0,nan,0.0,4,1,17
19755165,1607432854999894,490896813,21103755,84004,130029,0.42800003,0.7569449,1.544,2.239,0.76,0.96,97,17,0.07700001,-0.002,0.07700001,-0.067,5.763302,0,nan,0.0,4,1,17
19956047,1607432855199893,490896813,21103756,84022,130047,0.51900005,0.75696373,1.5450001,2.2410002,0.76,0.96,97,18,0.034,0.031000001,0.014,-0.053000003,5.763302,0,nan,0.0,4,1,17
20157401,1607432855399893,490896813,21103757,84039,130065,0.48200002,0.7569812,1.5460001,2.243,0.76,0.96,97,18,0.023000002,0.0050000004,0.022000002,-0.027,5.763302,0,nan,0.0,4,1,17
20355161,1607432855599893,490896814,21103759,84063,130088,0.503,0.7569995,1.5460001,2.2440002,0.76,0.96,97,18,0.063,0.029000001,0.057000004,-0.071,5.763302,0,nan,0.0,4,1,17
20553077,1607432855799893,490896813,21103760,84064,130090,0.521,0.7570184,1.5480001,2.2470002,0.76,0.96,97,18,0.028,0.018000001,0.022000002,-0.019000001,5.763302,0,nan,0.0,4,1,17
20764400,1607432855999894,490896811,21103760,84050,130075,0.453,0.7570348,1.5480001,2.2470002,0.76,0.96,97,18,0.053000003,-0.051000003,-0.016,-0.042000003,5.763302,0,nan,0.0,4,1,17
20957636,1607432856199893,490896809,21103759,84063,130089,0.41200003,0.7570496,1.5480001,2.2470002,0.76,0.96,97,18,0.044000003,-0.044000003,0.001,-0.021000002,5.763302,0,nan,0.0,4,1,17
