timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
3295909,3295909,8,44,0,0,22288,1513,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
3491979,3491979,8,44,0,0,22289,1512,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
3712100,3712100,8,44,0,0,22288,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
3909937,3909937,8,43,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
4107999,4107999,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
4305937,4305937,8,44,0,0,22288,1513,1544,1100,1544,1545,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
4525945,4525945,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
4724034,4724034,8,44,0,0,22288,1513,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
4921928,4921928,8,44,0,0,22288,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
5119983,5119983,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
5317953,5317953,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
5537928,5537928,8,44,0,0,22288,1512,1545,1100,1544,1545,1099,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
5735988,5735988,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
5933976,5933976,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
6131917,6131917,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
6352024,6352024,8,44,0,0,22288,1512,1544,1101,1544,1544,1100,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
6549939,6549939,8,44,0,0,22288,1512,1545,1100,1544,1545,1099,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
6748008,6748008,8,44,0,0,22288,1512,1545,1100,1544,1545,1099,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
6945954,6945954,8,44,0,0,22288,1512,1545,1100,1544,1545,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
7143990,7143990,8,44,0,0,22288,1512,1545,1100,1544,1545,1099,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
7363987,7363987,8,44,0,0,22289,1512,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
7561932,7561932,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1525,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
7760016,7760016,8,44,0,0,22289,1512,1544,1101,1544,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
7957958,7957958,8,44,0,0,22288,1512,1545,1100,1544,1545,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
8177934,8177934,8,44,0,0,22288,1513,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
8376051,8376051,8,44,0,0,22289,1512,1544,1100,1545,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
8576138,8576138,8,44,0,0,22287,1512,1544,1101,1543,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
8760367,8760367,8,44,0,0,22286,1512,1544,1101,1543,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
8971643,8971643,8,44,0,0,22287,1512,1544,1100,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
9182583,9182583,8,44,0,0,22287,1512,1544,1101,1543,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
9366759,9366759,8,44,0,0,22287,1512,1544,1100,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
9577976,9577976,8,44,0,0,22286,1513,1543,1101,1543,1544,1100,1524,1525,0,0,0,0,0,0,0,0,0,0,0,0,2
9781126,9781126,8,44,0,0,22287,1512,1544,1100,1544,1544,1100,1524,1524,0,0,0,0,0,0,0,0,0,0,0,0,2
