timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
3301120,-1.8719494,-1.8874738,14.49,1.0
3312162,-1.8719318,-1.8874234,14.48,1.0
3323197,-1.8692919,-1.8846349,14.45,1.0
3334312,-1.8665396,-1.882038,14.49,1.0
3346389,-1.8649589,-1.8804157,14.49,1.0
3357676,-1.8635687,-1.8789489,14.469999,1.0
3368116,-1.860936,-1.8763571,14.495,1.0
3379528,-1.8582252,-1.8736358,14.49,1.0
3391119,-1.8567991,-1.8721671,14.495,1.0
3402610,-1.8563119,-1.8717247,14.509999,1.0
3413517,-1.8556088,-1.8710138,14.495,1.0
3424843,-1.854511,-1.8698516,14.474999,1.0
3436880,-1.8547237,-1.8700497,14.469999,1.0
3447095,-1.8580039,-1.8735033,14.514999,1.0
3458697,-1.8619114,-1.877278,14.469999,1.0
3469506,-1.8636565,-1.8791001,14.495,1.0
3480342,-1.8632593,-1.8786361,14.49,1.0
3492716,-1.8623283,-1.8778117,14.525,1.0
3503085,-1.8612955,-1.8767712,14.505,1.0
3513941,-1.8601575,-1.8755051,14.46,1.0
3525112,-1.8579262,-1.8731571,14.45,1.0
3537506,-1.8532001,-1.8686032,14.514999,1.0
3548313,-1.8454258,-1.8606352,14.474999,1.0
3559216,-1.8375987,-1.8528172,14.495,1.0
3570393,-1.8325788,-1.8479053,14.53,1.0
3582574,-1.8300462,-1.8451589,14.469999,1.0
3592954,-1.8281035,-1.8433233,14.5199995,1.0
3604135,-1.8255569,-1.8407059,14.49,1.0
3615518,-1.8232536,-1.8382413,14.46,1.0
3626046,-1.8214967,-1.8366138,14.505,1.0
3638049,-1.8190027,-1.8340169,14.485,1.0
3648944,-1.8160055,-1.8310089,14.474999,1.0
3660216,-1.8136728,-1.8285885,14.465,1.0
3670954,-1.8141046,-1.8290715,14.48,1.0
3683648,-1.8181508,-1.8332196,14.49,1.0
3693880,-1.8234005,-1.8385172,14.5,1.0
3705104,-1.8252461,-1.8403579,14.485,1.0
3716304,-1.8211228,-1.8362645,14.505,1.0
3728291,-1.811441,-1.8263274,14.45,1.0
3738966,-1.7986494,-1.8134441,14.46,1.0
3750052,-1.7862728,-1.8010504,14.49,1.0
3761098,-1.7774163,-1.7920585,14.469999,1.0
3772348,-1.7714828,-1.786103,14.469999,1.0
3784335,-1.7663265,-1.780922,14.469999,1.0
3795578,-1.7630354,-1.7775965,14.485,1.0
3805896,-1.7625017,-1.7770736,14.49,1.0
3817935,-1.7631711,-1.7777536,14.48,1.0
