timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
3289207,-0.009988094,-0.13329674,0.3927475
3311427,-0.0068639587,-0.12152191,0.40460488
3322459,-0.0021777577,-0.14507158,0.39571184
3333568,-0.00061569066,-0.12446563,0.39867622
3356143,-0.0053018914,-0.12593748,0.40164053
3367295,-0.009988094,-0.13329674,0.40164053
3378729,-0.009988094,-0.12888117,0.4149801
3390316,-0.00061569066,-0.1318249,0.39867622
3401877,-0.009988094,-0.11710635,0.39422968
3412766,-0.0053018914,-0.13329674,0.40015835
3423240,-0.0037398248,-0.12740932,0.38830096
3435246,-0.0037398248,-0.13771231,0.40164053
3457896,-0.0053018914,-0.14212787,0.37792572
3468743,-0.009988094,-0.14212787,0.40460488
3479270,-0.013112227,-0.14212787,0.3853366
3502305,-0.019360496,-0.12740932,0.38830096
3513151,-0.016236361,-0.13329674,0.40015835
3524318,-0.0053018914,-0.14507158,0.3927475
3536746,-0.009988094,-0.13329674,0.3927475
3547297,-0.0068639587,-0.12740932,0.40164053
3558403,-0.0053018914,-0.12888117,0.3927475
3569598,-0.0037398248,-0.13771231,0.40460488
3581846,-0.009988094,-0.14212787,0.39422968
3603328,0.0009463764,-0.13918416,0.3927475
3614321,-0.009988094,-0.12740932,0.40164053
3625221,-0.0068639587,-0.13771231,0.39867622
3648215,-0.0053018914,-0.13329674,0.40164053
3659480,-0.0037398248,-0.12152191,0.40460488
3670161,-0.0037398248,-0.14359972,0.39867622
3682284,-0.00061569066,-0.1318249,0.39867622
3704363,-0.00061569066,-0.12740932,0.40460488
3715524,-0.013112227,-0.1318249,0.39867622
3727549,-0.0037398248,-0.13771231,0.40164053
3749159,-0.00061569066,-0.1318249,0.39422968
3760355,-0.01779843,-0.12740932,0.40460488
3771586,-0.0053018914,-0.12593748,0.39571184
3783491,0.008756712,-0.13329674,0.40015835
3794272,0.0009463764,-0.13624045,0.38385445
3805165,-0.016236361,-0.12888117,0.3912653
3817149,0.008756712,-0.1185782,0.40905142
3829177,-0.009988094,-0.14359972,0.3927475
3841658,-0.0037398248,-0.12152191,0.3927475
3852437,-0.0037398248,-0.13329674,0.39867622
3864394,-0.0037398248,-0.1318249,0.39422968
3875519,-0.01155016,-0.13624045,0.3927475
3897234,-0.009988094,-0.13329674,0.40460488
3909153,0.0056325775,-0.13771231,0.3927475
3920187,-0.016236361,-0.12299376,0.40015835
3943273,-0.009988094,-0.13329674,0.3927475
3954821,-0.0053018914,-0.12888117,0.40015835
3965231,-0.009988094,-0.13624045,0.40164053
3976302,-0.0053018914,-0.12888117,0.39571184
3999271,0.0056325775,-0.14212787,0.40164053
4011312,-0.016236361,-0.12888117,0.39571184
4023311,-0.0053018914,-0.13624045,0.40164053
4047741,-0.0021777577,-0.13918416,0.39571184
4058159,-0.0068639587,-0.1318249,0.40164053
